id;nom;ville;pays;telephone;email
1;Nakfa Usability back-end;magenta quantifying convergence;Investment Account;373.822.0248 x00979;"F!=|@P8.h/CIf"
2;North Carolina pixel Gorgeous Rubber Chips;Bedfordshire;Rhode Island Ergonomic Wooden Sausages;1-596-043-9686 x3096;"{lF@z.~8"
3;Ergonomic Kids;Developer;technologies;061.626.0224;"#5Y{@0FX.Q"
4;contextually-based multi-byte harness;Incredible Cotton static;SQL Avon mission-critical;1-606-492-1433;"TH@CH#.>_>"
5;Awesome solutions;Berkshire;Ergonomic Steel Fish action-items;566-966-9775 x2413;"[@yEp&C.lnRT'"
6;Avon Knolls;Pants Ergonomic Soft Cheese Fresh;FTP Buckinghamshire repurpose;334-908-4233 x698;"|zefw_@T2b.h."
7;platforms;Incredible extend;Keyboard Nepal backing up;1-199-740-3856;"I4Bg@9z.W9"
8;Cape Verde plum Home Loan Account;open-source Nakfa;Global compress;108-964-0710;"juAn#Z@iT_E.V"
9;functionalities best-of-breed FTP;mobile;engage Ergonomic Steel Table;1-251-410-3577 x072;"NPqP@<,Umg.$"
10;Technician iterate;Shoes benchmark maximize;Cheese approach;1-643-857-1646 x8480;"*e@eP.yNV"
